time,heartrate
1655458200000,73
1655458260000,68
1655458320000,67
1655458440000,68
1655458500000,76
1655458560000,90
1655458620000,95
1655458680000,86
1655458740000,84
1655458800000,76
1655458860000,70
1655458920000,69
1655458980000,67
1655459040000,65
1655459100000,67
1655459160000,71
1655459220000,69
1655459280000,68
1655459340000,76
1655459400000,75
1655459460000,72
1655459520000,73
1655459580000,77
1655459640000,74
1655459700000,71
1655459760000,69
1655459820000,73
1655459880000,76
1655459940000,72
1655460000000,73
1655460060000,72
1655460120000,75
1655460180000,73
1655460240000,69
1655460300000,73
1655460360000,79
1655460420000,73
1655460480000,68
1655460540000,73
1655460600000,74
1655460660000,76
1655460720000,77
1655460780000,74
1655460840000,70
1655460900000,67
1655461020000,66
1655461080000,68
1655461140000,72
1655461200000,66
1655461260000,68
1655461320000,71
1655461380000,75
1655461440000,73
1655461500000,69
1655461560000,66
1655461620000,69
1655461680000,67
1655461740000,69
1655461800000,68
1655461860000,76
1655461920000,75
1655461980000,69
1655462040000,68
1655462100000,67
1655462220000,68
1655462280000,69
1655462340000,72
1655462400000,76
1655462460000,75
1655462520000,71
1655462580000,75
1655462640000,69
1655462760000,66
1655462880000,76
1655462940000,77
1655463000000,79
1655463060000,73
1655463120000,72
1655463180000,66
1655463360000,65
1655463420000,69
1655463480000,82
1655463540000,92
1655463660000,96
1655463720000,101
1655463780000,104
1655463840000,100
1655463900000,91
1655463960000,83
1655464020000,82
1655464080000,86
1655464140000,77
1655464200000,73
1655464320000,80
1655464380000,82
1655464440000,78
1655464500000,80
1655464560000,77
1655464620000,85
1655464680000,90
1655464740000,95
1655464800000,101
1655464860000,104
1655464920000,109
1655464980000,104
1655465040000,106
1655465160000,91
1655465220000,82
1655465280000,85
1655465340000,87
1655465400000,79
1655465460000,75
1655465580000,77
1655465640000,76
1655465700000,77
1655465760000,74
1655465820000,85
1655465880000,84
1655465940000,78
1655466000000,76
1655466060000,78
1655466120000,81
1655466180000,77
1655466240000,81
1655466300000,85
1655466360000,102
1655466420000,107
1655466480000,108
1655466540000,109
1655466600000,103
1655466660000,102
1655466720000,107
1655466780000,92
1655466840000,102
1655466900000,105
1655466960000,104
1655467020000,121
1655467080000,139
1655467140000,140
1655467200000,138
1655467260000,137
1655467320000,141
1655467380000,133
1655467440000,137
1655467500000,139
1655467560000,135
1655467620000,144
1655467680000,131
